ASN,CC,Name,IXP Number (IX-F ID),Switch Name,IPv4 Address,IPv6 Address,MAC Address,Vendor,MANRS,IXP Switch
207651,NL,vdsina-AS207651,898,SER-DRO-TR2,185.1.222.242,2001:7f8:b7::a520:7651:1,d8:53:9a:15:19:d4,Juniper Networks,0,898+SER-DRO-TR2
209754,NL,VitrumNet,898,SER-NIK-TR1,185.1.222.119,2001:7f8:b7::a520:9754:2,,,0,898+SER-NIK-TR1
50673,NL,Serverius B.V.,898,SER-DRO-TR0,185.1.223.5,2001:7f8:b7::a505:673:5,,,0,898+SER-DRO-TR0
133317,IN,Srinagar Net Tech,683,camelopardalis.del,45.120.248.143,2001:df2:1900:1::143,,,0,683+camelopardalis.del
133680,IN,SOFTECH INFOSOL,683,draco.del,45.120.248.61,2001:df2:1900:1::61,,,0,683+draco.del
49378,IN,BG-EXTREME Route Servers,683,mercury.del,45.120.248.200,2001:df2:1900:1::200,,,0,683+mercury.del
133597,IN,Max-Tech Media & Communications Pvt. Ltd.,694,venus.bom,103.77.108.149,2001:df2:1900:2::149,,,0,694+venus.bom
133685,IN,Signum Digital Networks,772,andromeda.maa,45.120.251.40,2001:df2:1900:3::40,,,0,772+andromeda.maa
51050,NL,H4Hosting B.V.,898,SER-NIK-TR3,185.1.222.126,2001:7f8:b7::a505:1050:1,88:90:09:86:94:4f,Juniper Networks,0,898+SER-NIK-TR3
133648,IN,MNR Broadband Services,683,dorado.del,45.120.248.41,2001:df2:1900:1::41,f4:a4:d6:d2:f8:e2,"HUAWEI TECHNOLOGIES CO.,LTD",0,683+dorado.del
133692,IN,Fastnet Communication,683,dorado.del,45.120.248.82,2001:df2:1900:1::82,c4:ad:34:4d:dc:86,Routerboard.com,0,683+dorado.del
49378,IN,BG-EXTREME Route Servers,683,mercury.del,45.120.248.240,2001:df2:1900:1::240,,,0,683+mercury.del
209754,NL,VitrumNet,898,SER-GLO-TR1,185.1.222.48,2001:7f8:b7::a520:9754:1,,,0,898+SER-GLO-TR1
210103,,DDPO,898,,,2001:7f8:b7::a521:103:1,,,0,898
49378,IN,BG-EXTREME Route Servers,694,mars.bom,103.77.108.200,2001:df2:1900:2::200,,,0,694+mars.bom
133678,IN,Vizag Broadband Communications,772,cetus.maa,45.120.251.72,,,,0,772+cetus.maa
211041,,Swooth,898,,185.1.222.127,2001:7f8:b7::a521:1041:1,16:e8:05:60:d2:1d,,0,898
393717,US,Puppet,222,ptk-fabric-nwax-3,198.32.195.80,2620:124:2000::80,28:8a:1c:52:c4:62,Juniper Networks,0,222+ptk-fabric-nwax-3
133695,IN,Wefe Technology Pvt Ltd,694,moon.bom,103.77.108.219,2001:df2:1900:2::219,6c:3b:6b:f0:01:e6,Routerboard.com,0,694+moon.bom
211623,NL,OXAR,898,SER-DRO-TR1,185.1.222.189,2001:7f8:b7::a521:1623:1,,,0,898+SER-DRO-TR1
51198,NL,Dream Servers Ltd,898,SER-GLO-TR1,185.1.222.109,2001:7f8:b7::a520:8364:1,ac:1f:6b:7c:65:2a,"Super Micro Computer, Inc.",0,898+SER-GLO-TR1
211786,NL,CheeseHosting,898,SER-DRO-TR1,185.1.222.188,2001:7f8:b7::a521:1786:1,,,0,898+SER-DRO-TR1
211827,NL,BnPICT,898,SER-APL-TR1,185.1.222.224,2001:7f8:b7::a521:1827:1,28:99:3a:f2:88:a8,Arista Networks,0,898+SER-APL-TR1
54113,IN,"Fastly, Inc.",683,indus.del,45.120.248.25,2001:df2:1900:1::25,,,0,683+indus.del
133720,IN,SOFT CALL CUST-O-CARE PRIVATE LIMITED,694,sagittarius.bom,103.77.108.81,,,,0,694+sagittarius.bom
133724,IN,Swastik Internet and Cables,694,moon.bom,103.77.108.210,,,,0,694+moon.bom
398335,US,Helio Broadband,222,ptk-fabric-nwax-3,198.32.195.132,2620:124:2000::132,,,0,222+ptk-fabric-nwax-3
133965,IN,Racsann Technologies Pvt Ltd,683,draco.del,45.120.248.100,2001:df2:1900:1::100,,,0,683+draco.del
212635,NL,AS212635,898,SER-NIK-TR3,185.1.222.199,2001:7f8:b7::a521:2635:1,3c:ec:ef:6c:2a:e3,"Super Micro Computer, Inc.",1,898+SER-NIK-TR3
400390,US,ISC F-ROOT PDX1,222,qts-fabric-nwax-1,198.32.195.135,2620:124:2000::135,,,0,222+qts-fabric-nwax-1
133967,IN,Hardwork Cable and Internet Services,683,dorado.del,45.120.248.90,2001:df2:1900:1::90,cc:2d:e0:26:19:52,Routerboard.com,0,683+dorado.del
212703,NL,Bontekoe Technology,898,SER-MEP-TR1,185.1.222.181,2001:7f8:b7::a521:2703:1,,,0,898+SER-MEP-TR1
53334,NL,Total Uptime Technologies LLC,898,SER-DRO-TR1,185.1.222.54,2001:7f8:b7::a505:3334:1,,,0,898+SER-DRO-TR1
133982,IN,Excitel,683,dorado.del,45.120.248.3,2001:df2:1900:1::3,30:fd:65:72:9b:66,"HUAWEI TECHNOLOGIES CO.,LTD",0,683+dorado.del
133971,IN,Rmax Broadband Pvt Ltd,772,caelum.maa,45.120.251.34,2001:df2:1900:3::34,b8:69:f4:09:ac:ee,Routerboard.com,0,772+caelum.maa
56647,,Fusion Media Limited,898,,185.1.222.99,2001:7f8:b7::a505:6647:1,,,0,898
213035,NL,Serverion,898,SER-NIK-TR3,185.1.222.110,2001:7f8:b7::a521:3035:1,e0:f6:2d:40:2f:f0,Juniper Networks,0,898+SER-NIK-TR3
212895,NL,Johannes-Ernst,898,SER-DRO-LEAF-4.2,185.1.222.163,2001:7f8:b7::a521:2895:1,,,0,898+SER-DRO-LEAF-4.2
56911,NL,WARIAN,898,SER-NIK-TR1,185.1.222.114,2001:7f8:b7::a505:6911:1,,,1,898+SER-NIK-TR1
134021,IN,Airgenie Communications Pvt Ltd,772,andromeda.maa,45.120.251.37,2001:df2:1900:3::37,6c:3b:6b:fd:20:5f,Routerboard.com,0,772+andromeda.maa
212895,NL,Johannes-Ernst,898,SER-NIK-TR3,185.1.222.163,2001:7f8:b7::a521:2895:1,,,0,898+SER-NIK-TR3
