IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
565,DE-CIX DUS (DE-CIX Dusseldorf),,backhaul04.fra2.fra,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,1,565+backhaul04.fra2.fra
565,DE-CIX DUS (DE-CIX Dusseldorf),,sw001.dxb,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+sw001.dxb
565,DE-CIX DUS (DE-CIX Dusseldorf),,core01.fra12.fra,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+core01.fra12.fra
565,DE-CIX DUS (DE-CIX Dusseldorf),,backhaul01.nyc13.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+backhaul01.nyc13.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,backhaul01.nyc1.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+backhaul01.nyc1.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.nyc6.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+edge02.nyc6.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge01.dx12.fra,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,31,565+edge01.dx12.fra
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.nyc5.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+edge02.nyc5.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.fra2.fra,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,8,565+edge02.fra2.fra
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.mad3.mad,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+edge02.mad3.mad
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.dus1.dus,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,125,565+edge02.dus1.dus
565,DE-CIX DUS (DE-CIX Dusseldorf),,backhaul02.nyc12.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+backhaul02.nyc12.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,core01.nyc2.nyc,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+core01.nyc2.nyc
565,DE-CIX DUS (DE-CIX Dusseldorf),,edge02.dfw8.dfw,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+edge02.dfw8.dfw
